ID,Title_lang,BodyText_lang
2392,Conjure Poisonous Mixture,"Lord Walden conjures a bottle of poisonous mixture then throws it at the location of a random player. When the bottle lands on the ground it erupts. 

The poison immediately inflicts $93697s1 Nature damage to players within $93697A1 yards, and continues to inflict $93697s2 Nature damage every second while decreasing the movement speed of players by $93697s3% for $93697d."
2394,Crystal Barrage,"Corborus channels a barrage of crystals on the location of a random enemy player, inflicting $86881s1 Physical damage in a $86881A1 yard radius around the location every $86881t1 second for $86881d.$[!2,4

In Heroic difficulty, the Crystal Barrage also summons a Crystal Shard every $86881t1 second within the area.$]"
2395,Crystal Shard,"These small shards of crystal have very low health. If a crystal shard ever reaches a player, they will explode and inflict $92122s1 Nature damage and increase damage taken by $92122s2% on all enemies within $92122A1 yards for $92122d."
2396,Dampening Wave,"Corborus unleases a wave of energy, inflicting $82415s1 Shadow damage to all enemies within $82415A1 yards. The energy wave also inflicts each enemy with a heal absorption effect that will prevent $82415s2 healing on the target for $82415d."
2397,Burrow,"After some time has passed, Corborus will burrow into the ground and become unattackable. While Corborus is underground, Rock Borers will periodically emerge from the ground at the location of a random player and begin to attack.

Corborus will also violently erupt out of the ground and resubmerge four times with a Thrashing Charge. After the fourth Thrashing Charge, Corborus emerges out of the ground and resumes normal combat."
2398,Rock Borer,"Rock Borers have low health. If not killed quickly, they will inflict Rock Bore on their current target."
2399,Rock Bore,"A Rock Borer wounds their current target, inflicting $80028s1 Physical damage every $80028t1 seconds for $80028d. Rock Bore can stack up to 10 times."
2400,Thrashing Charge,"Before Corborus erupts out of the ground with a Thrashing Charge, the ground where he erupts will be disturbed. Corborus then leaps out of the ground and quickly dives back underground. Any player caught in the path of this movement is dealt $81828s1 Physical damage and knocked back."
2401,Lava Fissure,"Slabhide creates a crack in the ground under a random player. After 5 seconds the ground erupts, inflicting $80800s1 Fire damage to all enemies within $80800A1 yards of the crack's location. The eruption also creates a lava pool which inflicts $80801s1 Fire damage every second a player stands within the pool. The lava pool lasts 10 seconds.$[!2,4

In Heroic Difficulty the crack erupts after 3 seconds and the lava pool lasts 30 seconds.$]"
2402,Sand Blast,"Slabhide breathes out a blast of sand, inflicting $80807s1 Nature damage to all enemies within $80807a1 yards in a forward facing 60 degree cone."
2403,Stalactite,"Periodically during the encounter, Slabhide will run to the center of the cavern and lift off into the air. While hovering above the ground, a large number of stalactites then rain down from the ceiling in random locations around the cavern. If a player is underneath a stalactite when it lands, they take $80647s2 Physical damage and are knocked back.

The stalactites last $80647d., and also block movement and line of sight for spells."
2404,Crystal Storm,"After Slabhide lifts off and finishes creating stalactites, he then lands. Before the stalactites disappear, he begins to channel Crystal Storm for $92265d. Every $92301t1 second Slabhide inflicts $92300s1 Nature damage to all enemies.

Slabhide must have line of sight to an enemy to deal damage with Crystal Storm."
2405,Ground Slam,Ozruk builds up his strength then slams the ground in front of him dealing $78903s1 Physical damage to all enemies within $78903A1 yards of the impact point.
2406,Rupture,"When Ozruk performs a Ground Slam in Heroic Difficulty, the ground ruptures and causes three lines of rock spikes to erupt in the direction he is facing. Any player caught by one of the rock spikes is dealt $92381s1 Physical damage and is knocked upwards."
2407,Elementium Bulwark,"The elementium plates grafted onto Ozruk are charged with energy, causing them to have a $78939s1% chance to reflect spells for $78939d."
2408,Elementium Spike Shield,"Spikes erupt from Ozruk's body for $78835d. Any player who attacks Ozruk with a melee or ranged attack while he has the Elementium Spike Shield are inflicted with a bleed effect that deals $78859s1 Arcane damage every second for $78859d. This effect stacks up to 5 times, but may only be applied once per second."
2409,Shatter,"When the Elementium Spike Shield expires, Ozruk shatters the spikes and launches them in all directions. This inflicts $78807s1 Physical damage to all enemies within $78807A1 yards."
2410,Paralyze,"Right before Ozruk uses his Shatter ability, Ozruk will cast Paralyze. The Paralyze spell stuns all enemies for $92426d. Any damage taken while stunned will remove the Paralyze effect. If Paralyze is not prematurely removed, then at the end of the spell's duration the player is dealt $94661s1 Arcane damage."
2411,Stage One: Kill the Intruders!,
2412,Curse of Blood,"High Priestess Azil curses a random enemy player, increasing the player's Physical damage taken by $79345s1 for $79345d."
2413,Force Grip,"High Priestess Azil traps her current enemy target in a field of energy for $79351d, repeatedly lifting them up and then slamming them into the ground. Each time the target is slammed into the ground, they are dealt $79358s2 Physical damage."
2414,Gravity Well,"High Priestess Azil summons a Gravity Well at the location of a random player. After 3 seconds, the Gravity Well fully forms and will then pull any nearby target within $79332A1 yards of the well's center towards it. A Gravity Well will also inflict Shadow damage every $79244t1 second to any target within the well. The damage inflicted is increased the closer the target is to the center of the Gravity Well. Gravity Wells have a duration of 20 seconds.$[!2,4

In Heroic Difficulty a Gravity Well no longer has a set duration. If a Gravity Well kills a unit, they shrink in size by 25%. So after killing 4 units, they disappear.$]"
2415,Devout Follower,Devout Followers rush to help High Priestess Azil during the fight. These creatures have very low health.
2416,Stage Two: Feel the Fury of Earth!,"High Priestess Azil begins this stage by casting Energy Shield, then she hovers up to her altar where she will cast Seismic Shard three times. After finishing casting the Seismic Shard spells, she returns to the ground. Many more Devout Followers rush to help Azil during this stage."
2417,Energy Shield,"High Priestess Azil creates an Energy Shield around her which reduces the damage she takes by $79050s1%. When the shield is initially created, any enemy target within $79050A3 yards is dealt $79050s3 Arcane damage and knocked back."
2418,Seismic Shard,"High Priestess Azil magically raises up a huge shard of stone, then throws it at the location of a random enemy player. When the shard lands it inflicts $79021s1 damage to all units within $79021A1 yards."
2419,Cyclone Shield,
2420,Storm's Edge,"Players that stand outside the circle of cyclones are dealt $86309s1 Nature damage every second. When her cyclones are called back to her, players that stand within $86311A2 yards of Ertan are knocked away."
2421,Lightning Bolt,"Grand Vizier Ertan blasts her current enemy target with lightning, inflicting $86331s1 Nature damage."
2422,Summon Tempest,
2423,Lurking Tempest,The Lurking Tempests will only attack players if no one is looking at them.
2424,Lightning Bolt,"The Lurking Tempest blasts its current enemy target with lightning, inflicting $89105s1 Nature damage."
2425,Call the Wind,"Altairus periodically calls to the wind, creating a constant wind in one of four cardinal directions. Depending on the direction of the wind, the player's location, and Altairus' location, the player receives either the Upwind of Altairus effect or the Downwind of Altairus effect."
2426,Upwind of Altairus,
2427,Downwind of Altairus,
2428,Chilling Breath,
2429,Lightning Blast,
2430,Twisting Winds,Altairus' platform fills with fast moving twisters. Any player that touches a twister is dealt $88314s1 Nature damage and knocked straight up.
2431,Unstable Grounding Field,Asaad uses his command of lightning to form a triangular field at a random location on the platform. Any spell targeting a unit standing within the boundaries of the field is redirected away.
2432,Supremacy of the Storm,"Asaad calls down an immense storm of lightning, inflicting $87553s1 Nature damage every $86930t2 second on every player on the platform for $86930d."
2433,Chain Lightning,
2434,Skyfall Star,
2436,Static Cling,
2437,Shockwave,"General Husam prepares to unleash a massive blow, then he strikes the ground and four separate Shockwaves erupt from his location. Each Shockwave travels along the ground in a different direction, inflicting $83454s1 Physical damage to any enemy within $83454A1 yards of a Shockwave."
2438,Bad Intentions,"General Husam charges a random enemy player then hurls them onto a nearby wall. The hard impact from being thrown onto the wall inflicts $83339s1 Physical damage on the player, and they are stunned as they slide down the wall back onto the ground."
